               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11794,            0.020328,                   0,             0.04058,            0.081081,           0.0078128,           0.0019686,              0.1196,            0.013506,                   0,             0.00022,             0.00022,             0.09802
                   1,             0.11488,            0.021775,                   0,            0.015429,             0.16216,           0.0049545,          0.00093098,             0.11492,            0.013809,                   0,           0.0004496,           0.0004496,             0.09595
                   2,             0.11136,            0.021914,                   0,            0.019458,            0.081081,           0.0043717,          0.00081757,             0.10953,            0.014271,                   0,          0.00067759,          0.00067759,            0.093878
                   3,             0.10689,             0.02389,                   0,            0.020711,            0.081081,           0.0041896,           0.0010762,             0.10479,            0.014442,                   0,          0.00090275,          0.00090275,            0.091803
                   4,             0.10516,             0.02306,                   0,            0.028006,            0.081081,           0.0061917,            0.001389,             0.10251,            0.014205,                   0,           0.0011239,           0.0011239,            0.089724
                   5,            0.097841,            0.023668,                   0,            0.064727,             0.13514,            0.012899,           0.0022224,            0.098852,             0.01425,                   0,           0.0013398,           0.0013398,             0.08764
                   6,            0.094405,            0.024462,                   0,             0.13799,            0.081081,            0.029269,           0.0063641,            0.095814,            0.014115,                   0,           0.0015494,           0.0015494,            0.085549
                   7,             0.09122,            0.023947,                   0,             0.16395,             0.10811,            0.037133,           0.0093607,            0.093607,            0.014048,                   0,           0.0017516,           0.0017516,            0.083452
                   8,            0.091772,            0.023986,                   0,             0.27048,             0.21622,             0.11111,             0.02886,            0.088773,            0.014229,                   0,           0.0019453,           0.0019453,            0.081345
                   9,            0.088079,            0.026814,                   0,             0.33401,             0.21622,             0.16139,            0.063019,            0.081466,            0.014572,                   0,           0.0021296,           0.0021296,             0.07923
                  10,            0.083548,            0.024236,                   0,             0.55517,             0.21622,             0.19245,            0.075534,            0.078319,            0.014598,                   0,           0.0023034,           0.0023034,            0.077103
                  11,            0.079085,            0.025939,                   0,             0.72479,             0.21622,              0.2217,             0.10041,            0.075444,            0.014264,                   0,            0.002466,            0.002466,            0.074966
                  12,            0.075751,            0.026898,                   0,             0.87478,             0.18886,              0.2191,             0.12606,            0.067718,            0.014388,                   0,           0.0026165,           0.0026165,            0.072817
                  13,            0.074902,            0.029033,                   0,             0.68954,             0.24324,               0.284,             0.15709,            0.066523,            0.013875,                   0,           0.0027543,           0.0027543,            0.070654
                  14,            0.069505,             0.02614,                   0,             0.81733,             0.24324,             0.32339,             0.18193,            0.065799,            0.013169,                   0,           0.0028787,           0.0028787,            0.068479
